|context_id|context|question|answer
0|0|Basecamp. Basecamp. On our website, we say Basecamp is a private, secure space online where people working together can organize and discuss everything they need to get a project done. See it, track it, discuss it, act on it. Tasks, discussions, deadlines, and files everythings predictably organized in Basecamp. But we want it to be more than that. In mid-2016, we decided to focus on helping small business owners manage their businesses and help alleviate growth and organizational pains theyre facing. Project management was our bread and butter for over 15 years. But we were inspired by how we, internally, have used Basecamp to run 37signals, and we want to extend that philosophy to our current customers and scores of brand-new customers.|Basecamp is a place where people can organize and discuss everything they need to get a project done.| secure
1|1|But lets take a look back. In 2003, 37signals was a web design firm made up of 4 people. We always had work, but we were disorganized. With so many concurrent projects, things began to slip through the cracks. Projects dragged on too long. We dropped the ball on key deliverables. We had some major miscommunication. As many people even still do, we relied on email for everything. Things inevitably got lost, people get left out of conversations, theres nowhere to go to see whats left to do.|What was the number of people in the company at the time?| 4
2|2|Lo and behold, our projects ran better! We regained the sense of order and calmness wed been craving. And clients noticed they really appreciated the improved communication and organization. Soon after, our clients started asking us what software we were using to run these projects. Turns out they wanted to use it for their own in-house projects! So, we polished it up and put it on the market. On February 5th, 2004, Basecamp was born, and within a year, Basecamp was generating more income for us than our web design business, so we shuttered the web design firm to focus solely on Basecamp. That original Basecamp is called Basecamp Classic, and it still retains quite a few loyal customers! In 2012, we released our second version of Basecamp, referred to as BCX.|On what date did Basecamp hit the market?| February 5th, 2004
3|3|Lo and behold, our projects ran better! We regained the sense of order and calmness wed been craving. And clients noticed they really appreciated the improved communication and organization. Soon after, our clients started asking us what software we were using to run these projects. Turns out they wanted to use it for their own in-house projects! So, we polished it up and put it on the market. On February 5th, 2004, Basecamp was born, and within a year, Basecamp was generating more income for us than our web design business, so we shuttered the web design firm to focus solely on Basecamp. That original Basecamp is called Basecamp Classic, and it still retains quite a few loyal customers! In 2012, we released our second version of Basecamp, referred to as BCX.|Basecamp Classic is a reference to what was the original Basecamp| Basecamp Classic
4|4|Fast forward to 2014. Wed been feeling pulled in too many directions for too long. Campfire, Highrise, Backpack, and a host of other products were taking away from what we really wanted to do: maintain and improve Basecamp. So we spun off, sold, or otherwise sunset our ancillary products, and dedicated the entire companys efforts to Basecamp. In 2015 we launched our third version of Basecamp, BC3, and in 2022, we launched Basecamp 4.|In what year did we launch BC3?| 2015
5|4|Fast forward to 2014. Wed been feeling pulled in too many directions for too long. Campfire, Highrise, Backpack, and a host of other products were taking away from what we really wanted to do: maintain and improve Basecamp. So we spun off, sold, or otherwise sunset our ancillary products, and dedicated the entire companys efforts to Basecamp. In 2015 we launched our third version of Basecamp, BC3, and in 2022, we launched Basecamp 4.|In what year did we launch BC3?| 2022
6|5|HEY. HEY is our love letter to email. While our internal communications are almost exclusively in Basecamp (with code reviews in GitHub the primary exception), we still correspond with some external service providers and customers via email. Every time we needed to do that, we felt the drag: how much harder it was to manage and stay on top of email. So we eventually decided to do something about it. After over two years of work, we launched HEY in June 2020.|Basecamp is where we communicate with customers and they send us emails?| Basecamp
7|5|HEY. HEY is our love letter to email. While our internal communications are almost exclusively in Basecamp (with code reviews in GitHub the primary exception), we still correspond with some external service providers and customers via email. Every time we needed to do that, we felt the drag: how much harder it was to manage and stay on top of email. So we eventually decided to do something about it. After over two years of work, we launched HEY in June 2020.|In what month did we launch HEY?| June 2020
8|7|Ta-da List. Ten years ago, to-do list apps were few and far between. So, we created Ta-da List as a stand alone free subscription app at tadalist.com in January 2005. Now that people have to-do lists on their phones, desktops, laptops, tablets, and refrigerator doors, we recognized that Ta-da List was a little outdated. We closed new signups to tadalist.com in 2012, but existing customers were able to retain their accounts.|In what year did we close signups to tadalist.com?| 2012
9|8|Backpack. We created Backpack in May 2005 as a supplement to Basecamp Classic. Backpack existed as an organizer: a place to keep lifes loose ends together. Users could make lists, notes, add files, upload pictures, and create Writeboards to share with other users. When we restructured in 2014, we closed Backpack to new customers, but existing customers still use (and love!) Backpack.|Backpack was created as a supplement to Basecamp Classic.| May 2005
