|context_id|context|question|answer|answer_start|answer_end
0|0|Titles for Data Analysts We use the following criteria to assess the level and title of our data analysts at Basecamp. These criteria arent exhaustive, and they arent mere checklists. Theyre a guidance to having an individualized discussion about career progression.|What are the criteria for titles for data analysts?|exhaustive|140|151
1|0|Titles for Data Analysts We use the following criteria to assess the level and title of our data analysts at Basecamp. These criteria arent exhaustive, and they arent mere checklists. Theyre a guidance to having an individualized discussion about career progression.|How are the criteria for titles for data analysts used?|exhaustive|140|151
2|1|Analyzes complex business problems and issues using data from internal and external sources to provide insight to decision-makers. Identifies and interprets trends and patterns in datasets to locate influences. Constructs forecasts, recommendations and strategic/tactical plans based on business data and market knowledge. Creates specifications for reports and analysis based on business needs and required or available data elements. May provide consultation to users and lead cross-functional teams to address business issues. May directly produce datasets and reports for analysis using system reporting tools.|What does the system build forecasts, recommendations and strategic/tactical plans based on?|business data and market knowledge|287|322
3|2|Analyzes complex business problems and issues using data from internal and external sources to provide insight to decision-makers. Identifies and interprets trends and patterns in datasets to locate influences. Constructs forecasts, recommendations and strategic/tactical plans based on business data and market knowledge. Creates specifications for reports and analysis based on business needs and required or available data elements. May provide consultation to users and lead cross-functional teams to address business issues. May directly produce datasets and reports for analysis using system reporting tools.|What kind of tools are used for analysis?|system reporting|591|607
4|3|Level specific traitsSenior Data Analyst (L3)|what does l3 stand for in data analyst|traitsSenior Data Analyst|15|40
5|5|Work happens autonomously with no regular need for unsolicited review. Brings in appropriate stakeholders for input and feedback on a timeline that makes sense for all involved. Advocates for impactful projects that require cross-team collaboration. Able to run and direct small self-organized teams for such projects. Leads in making decisions on when and how substantial changes to the data analytics tooling and workflow are needed. Turns implicit knowledge explicit by documenting processes, key decisions, schematics, and other facts regularly. Makes data more accessible across the company by publishing relevant analyses and training others throughout the company on how to access data unaided. Helps set and maintain professional standards for the entire organization. Is highly regarded by others in the company and works to make the company better as a place to work. Usually at least 8 years of experience.|How does the system work without a need for regular?|unsolicited review|51|70
6|6|Work happens autonomously with no regular need for unsolicited review. Brings in appropriate stakeholders for input and feedback on a timeline that makes sense for all involved. Advocates for impactful projects that require cross-team collaboration. Able to run and direct small self-organized teams for such projects. Leads in making decisions on when and how substantial changes to the data analytics tooling and workflow are needed. Turns implicit knowledge explicit by documenting processes, key decisions, schematics, and other facts regularly. Makes data more accessible across the company by publishing relevant analyses and training others throughout the company on how to access data unaided. Helps set and maintain professional standards for the entire organization. Is highly regarded by others in the company and works to make the company better as a place to work. Usually at least 8 years of experience.|What is the typical experience of a BD/BA?|at least 8 years of experience|886|917
7|7|Can set and direct a large, cross-department project team towards one goal. Capable of running and directing those teams for substantive long-term projects. Pushes the whole organization forward regularly through the use of different organizational concepts and analytical applications. Regularly publishes and shares analysis process insights inside and outside the company. Capable of designing and architecting new data analytics tooling and workflows. Usually at least 12 years of experience.|How long-term are large cross-department project teams capable of working for?|substantive long-term projects|125|156
8|10|We are actively fixing feature-related bugs for Basecamp and HEY. Its a good idea to try to do a quick search first to see if your bug has already been reported, but better to report something twice than not at all.|For what project are we actively fixing feature-related bugs?|Basecamp and HEY|48|65
9|10|We are actively fixing feature-related bugs for Basecamp and HEY. Its a good idea to try to do a quick search first to see if your bug has already been reported, but better to report something twice than not at all.|How do you find a quick bug report?|try to do a quick search|85|109
10|11|If you find a bug related to Basecamp, add it to a Card Table in Basecamp Web: Bugs, Basecamp Android: Bugs, or Basecamp iOS: Bugs. If you find a bug related to HEY, add it to a Card Table in HEY Web: Bugs, HEY Android: Bugs, or HEY iOS: Bugs.|In what app can you find bugs related to Basecamp?|Basecamp Web: Bugs|65|84
